generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths
510,806.4,1800.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.5,10,14,9.2,6,13,218,0.0000,139
520,853.6,1800.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9,11,16,8.8,5,14,225,0.0000,106
530,815.3,1750.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.8,11,15,9.0,5,15,187,0.0000,112
540,880.5,1700.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.8,11,15,9.6,4,15,202,0.0000,95
550,834.8,1900.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,11,14,10.5,5,16,214,0.0000,111
560,868.0,1900.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1,11,16,11.1,6,16,223,0.0000,117
570,798.8,2000.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1,11,15,11.2,6,17,243,0.0000,140
580,856.2,1835.2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9,11,16,11.4,6,18,218,0.0000,101
590,887.4,1750.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,11,15,10.2,6,16,209,0.0000,121
600,962.8,2000.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9,11,15,10.1,4,16,178,0.0000,104
610,882.5,1850.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,11,15,10.6,6,17,184,0.0000,111
620,929.3,2050.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,11,15,10.8,5,16,205,0.0000,96
630,906.8,1850.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,12,15,12.2,7,17,200,0.0000,95
640,963.3,2050.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9,11,14,11.3,7,17,196,0.0000,101
650,856.4,1850.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9,11,15,11.3,6,17,178,0.0000,124
660,910.5,2000.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9,11,15,10.8,6,17,201,0.0000,120
670,909.7,2050.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,12,15,10.6,8,17,205,0.0000,115
680,859.3,1750.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9,12,14,10.1,7,19,216,0.0000,139
690,920.4,2050.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1,11,15,10.0,6,20,229,0.0000,94
700,892.3,1652.4,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,11,15,9.2,5,18,193,0.0000,109
710,883.2,1700.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,11,14,9.8,5,18,217,0.0000,95
720,895.0,2000.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,12,14,10.8,5,19,189,0.0000,135
730,903.5,1850.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,11,14,10.5,6,19,225,0.0000,124
740,919.7,2050.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,12,15,10.2,5,19,173,0.0000,123
750,880.6,1942.2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9,10,14,9.0,6,20,221,0.0000,117
760,831.4,2000.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7,10,15,9.0,6,14,254,0.0000,115
770,910.8,1900.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9,11,14,9.0,6,14,192,0.0000,72
780,870.4,2050.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,11,14,9.1,5,14,208,0.0000,116
790,886.7,1896.2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,11,14,9.5,5,14,227,0.0000,93
800,884.2,2200.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,11,14,9.9,6,14,245,0.0000,106
810,878.5,1800.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,11,14,9.9,6,14,255,0.0000,105
820,873.3,2000.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,12,15,10.1,5,15,239,0.0000,130
830,950.5,1950.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,12,15,10.9,5,16,198,0.0000,130
840,944.7,1850.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,12,15,10.1,5,15,212,0.0000,98
850,935.0,2000.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,12,15,9.6,5,16,197,0.0000,122
860,839.7,2050.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,12,14,9.9,4,16,227,0.0000,139
870,1011.2,1850.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,11,14,9.6,6,17,188,0.0000,106
880,1001.4,2050.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1,12,15,10.0,6,16,212,0.0000,119
890,907.0,1950.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,11,15,10.2,5,17,226,0.0000,110
900,969.7,2050.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,12,14,10.9,5,17,211,0.0000,86
910,981.4,2100.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,12,14,10.5,5,17,235,0.0000,104
920,971.7,2200.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,12,14,11.2,5,17,205,0.0000,110
930,1001.2,2050.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1,12,14,9.1,4,17,192,0.0000,135
940,958.0,2200.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2,12,15,9.0,3,18,207,0.0000,121
950,1000.9,2000.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2,12,15,9.4,5,18,189,0.0000,88
960,953.0,2150.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2,12,15,8.8,5,18,207,0.0000,96
970,935.6,1900.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2,12,15,8.6,4,19,187,0.0000,113
980,998.3,1950.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2,12,15,7.9,4,18,193,0.0000,106
990,934.8,2000.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1,11,15,7.5,4,18,214,0.0000,144
1000,930.5,2041.8,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1,11,15,6.6,3,10,180,0.0000,82
1010,1033.8,2050.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1,12,15,6.9,3,11,141,0.0000,54
1020,960.8,2000.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1,12,14,6.8,2,10,164,0.0000,66
1030,944.5,2100.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0,12,14,6.8,4,10,179,0.0000,125
