generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
510,756.9,1750.0,153573,0.5485,0.0001,0.1780,0.1479,0.1128,0.0779,0.3685,0.7680,0.0322,0.0000,0.0000,4.2,4,6,2.5,2,5,201,0.3523,96,0.0000
520,816.3,1600.0,159370,0.4964,0.0003,0.2290,0.1434,0.1073,0.0567,0.3584,0.7140,0.0083,0.0000,0.0000,4.1,4,6,2.6,2,5,208,0.3375,103,0.0000
530,704.1,1500.0,145329,0.5124,0.0002,0.1763,0.1907,0.0660,0.0256,0.3179,0.7503,0.0178,0.0000,0.0000,4.1,4,6,2.5,2,5,206,0.3196,122,0.0000
540,766.8,1600.0,150855,0.4785,0.0002,0.1327,0.2243,0.1524,0.0841,0.3113,0.8085,-0.0292,0.0000,0.0000,4.1,4,6,2.7,2,6,227,0.2616,111,0.0000
550,732.9,1600.0,145675,0.5118,0.0007,0.1412,0.1467,0.1190,0.0000,0.3133,0.7174,0.0118,0.0000,0.0000,4.2,4,6,3.0,2,6,235,0.4417,101,0.0000
560,714.1,1550.0,146184,0.5387,0.0002,0.1250,0.1410,0.1025,0.0250,0.3424,0.7420,-0.0118,0.0000,0.0000,4.2,4,6,2.8,2,6,240,0.2660,168,0.0000
570,742.1,1700.0,146235,0.4191,0.0005,0.0754,0.1006,-0.0154,-0.0000,0.3812,0.7865,0.1023,0.0000,0.0000,4.2,4,6,2.7,2,5,210,0.2620,106,0.0000
580,835.6,1787.1,158391,0.5262,0.0006,0.0877,0.0869,0.1539,0.0000,0.3729,0.7722,0.0283,0.0000,0.0000,4.2,4,6,2.9,2,5,182,0.2312,127,0.0000
590,786.1,1650.0,154830,0.4895,0.0001,0.0437,0.0734,0.0647,0.0676,0.3062,0.7716,0.0266,0.0000,0.0000,4.2,4,6,3.1,2,5,197,0.2057,110,0.0000
600,738.4,1650.0,143420,0.5273,0.0005,0.1043,0.0531,0.1810,0.0000,0.3200,0.7715,0.0222,0.0000,0.0000,4.1,4,6,2.9,2,6,258,0.1486,128,0.0000
610,776.2,1650.0,149949,0.5426,0.0001,0.0890,0.1144,-0.0075,0.0158,0.3217,0.7726,0.0243,0.0000,0.0000,4.2,4,7,2.9,2,6,212,0.2919,121,0.0000
620,750.0,1600.0,149250,0.5569,0.0002,0.0491,0.0606,0.0891,0.0000,0.3214,0.7352,0.0769,0.0000,0.0000,4.1,4,5,3.1,2,6,242,0.3515,138,0.0000
630,726.0,1850.0,145287,0.5259,0.0004,0.0713,0.0776,0.1102,0.0274,0.3291,0.7915,0.1169,0.0000,0.0000,4.2,4,6,3.1,2,6,231,0.3360,140,0.0000
640,761.5,1500.0,145049,0.4989,0.0003,0.0993,0.0175,0.1696,0.0000,0.3511,0.8308,0.1193,0.0000,0.0000,4.1,4,5,3.3,2,6,244,0.4231,112,0.0000
650,747.9,1729.0,145616,0.4846,0.0001,0.0514,0.0558,0.1370,0.0260,0.3600,0.6748,0.0012,0.0000,0.0000,4.1,4,6,3.7,2,6,224,0.3722,120,0.0000
660,791.3,1800.0,155215,0.4295,0.0004,0.0687,0.0534,-0.0389,0.0566,0.3961,0.7309,0.0086,0.0000,0.0000,4.1,4,5,4.0,2,6,160,0.5085,95,0.0000
670,774.4,1850.0,148488,0.5773,0.0001,0.1014,0.1184,0.0976,0.0000,1.1210,0.7458,0.0717,0.0000,0.0000,4.1,4,6,3.5,2,6,249,0.4311,124,0.0000
