generation,mi_zone_damage,mi_energy_delta,mi_freeze_pressure,mi_food_dx,mi_food_dy,mi_food_dist,mi_ally_dx,mi_ally_dy,mi_ally_dist,mi_sig0_str,mi_sig0_dx,mi_sig0_dy,mi_sig1_str,mi_sig1_dx,mi_sig1_dy,mi_sig2_str,mi_sig2_dx,mi_sig2_dy,mi_sig3_str,mi_sig3_dx,mi_sig3_dy,mi_sig4_str,mi_sig4_dx,mi_sig4_dy,mi_sig5_str,mi_sig5_dx,mi_sig5_dy,mi_mem0,mi_mem1,mi_mem2,mi_mem3,mi_mem4,mi_mem5,mi_mem6,mi_mem7,mi_energy,mi_death_nearby,mi_death_dx,mi_death_dy
320,0.0012,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0362,0.0220,0.0231,0.0000,0.0448,0.0506,0.1512,0.0869,0.0784,0.0469,0.0307,0.0369,0.0085,0.0054,0.0073,0.0263,0.0145,0.0158,0.0128,0.0128,0.0081,0.0071,0.0111,0.0063,0.0082,0.0114,0.0013,0.0000,0.0000,0.0000
330,0.0018,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0538,0.0362,0.0380,0.0000,0.0444,0.0490,0.0948,0.0561,0.0641,0.0501,0.0364,0.0470,0.0040,0.0040,0.0038,0.0378,0.0175,0.0245,0.0035,0.0089,0.0072,0.0047,0.0097,0.0094,0.0080,0.0139,0.0013,0.0000,0.0000,0.0000
340,0.0056,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0715,0.0526,0.0548,0.0000,0.0478,0.0445,0.0631,0.0391,0.0418,0.0285,0.0117,0.0126,0.0106,0.0063,0.0064,0.0095,0.0046,0.0066,0.0052,0.0047,0.0071,0.0060,0.0028,0.0068,0.0057,0.0091,0.0005,0.0000,0.0000,0.0000
350,0.0016,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0705,0.0462,0.0438,0.0000,0.0293,0.0296,0.0218,0.0127,0.0160,0.0213,0.0063,0.0093,0.0113,0.0061,0.0085,0.0076,0.0025,0.0047,0.0055,0.0074,0.0033,0.0066,0.0088,0.0091,0.0070,0.0063,0.0005,0.0000,0.0000,0.0000
360,0.0035,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1831,0.1112,0.1222,0.0000,0.0521,0.0570,0.0878,0.0488,0.0622,0.0455,0.0211,0.0228,0.0234,0.0121,0.0130,0.0162,0.0078,0.0125,0.0077,0.0108,0.0160,0.0104,0.0067,0.0078,0.0099,0.0077,0.0037,0.0000,0.0000,0.0000
370,0.0039,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0390,0.0240,0.0278,0.0000,0.0239,0.0200,0.0215,0.0159,0.0147,0.0249,0.0199,0.0223,0.0022,0.0015,0.0024,0.0109,0.0040,0.0077,0.0063,0.0084,0.0229,0.0078,0.0077,0.0126,0.0083,0.0055,0.0010,0.0000,0.0000,0.0000
380,0.0020,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0160,0.0107,0.0110,0.0000,0.0121,0.0121,0.0066,0.0053,0.0053,0.0337,0.0252,0.0194,0.0036,0.0024,0.0039,0.0207,0.0122,0.0147,0.0076,0.0065,0.0038,0.0033,0.0119,0.0037,0.0145,0.0046,0.0009,0.0000,0.0000,0.0000
390,0.0028,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0265,0.0138,0.0172,0.0000,0.0162,0.0123,0.0068,0.0034,0.0040,0.0331,0.0191,0.0191,0.0331,0.0177,0.0185,0.0144,0.0081,0.0072,0.0066,0.0026,0.0129,0.0070,0.0155,0.0063,0.0119,0.0113,0.0025,0.0000,0.0000,0.0000
400,0.0081,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0254,0.0134,0.0145,0.0000,0.0121,0.0104,0.0061,0.0023,0.0058,0.0243,0.0059,0.0066,0.0167,0.0077,0.0081,0.0098,0.0062,0.0090,0.0067,0.0058,0.0071,0.0109,0.0135,0.0057,0.0114,0.0085,0.0032,0.0000,0.0000,0.0000
410,0.0038,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.0023,0.0036,0.0000,0.0072,0.0099,0.0041,0.0020,0.0056,0.0289,0.0078,0.0089,0.0074,0.0041,0.0040,0.0057,0.0023,0.0043,0.0018,0.0039,0.0036,0.0026,0.0080,0.0038,0.0102,0.0063,0.0006,0.0000,0.0000,0.0000
