generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
14180,908.0,1900.0,157387,0.5025,0.0003,0.0112,0.0272,0.0596,0.0516,3.1149,0.7321,0.0431,0.0000,0.0000,11.1,8,14,3.5,2,6,201,0.9804,92,0.0006
14190,912.8,2150.0,160816,0.5109,0.0004,0.0139,0.0200,0.0538,0.0000,3.1221,0.7658,-0.0744,0.0000,0.0000,11.2,10,13,3.7,2,6,205,1.0784,68,0.0006
14200,957.0,1800.0,161596,0.5105,0.0001,0.0156,0.0088,0.1107,0.0000,3.1234,0.7470,0.0395,0.0000,0.0000,10.9,9,13,3.9,2,6,206,0.9508,93,0.0005
14210,851.5,1800.0,148359,0.4573,0.0004,0.0095,0.0139,0.0661,0.0393,3.1117,0.7699,0.0192,0.0000,0.0000,10.7,9,13,3.7,2,6,208,0.9053,101,0.0004
14220,981.6,1900.0,156687,0.4941,0.0006,0.0060,0.0346,0.0405,0.0000,3.1065,0.6786,0.0162,0.0000,0.0000,10.7,8,13,3.6,2,6,188,0.9346,73,0.0003
14230,998.2,1900.0,157863,0.4432,0.0002,0.0047,0.0138,0.0547,0.0495,3.1032,0.8088,0.0416,0.0000,0.0000,10.8,9,13,3.6,2,6,204,1.0367,114,0.0005
14240,1032.3,1950.0,166302,0.4749,0.0001,0.0133,0.0223,0.1136,0.0000,0.4866,0.6482,-0.0307,0.0000,0.0000,11.0,9,13,3.6,2,6,187,1.0841,102,0.0006
14250,902.0,2000.0,155117,0.5172,0.0003,0.0030,0.0319,0.0848,0.0514,0.4853,0.8035,-0.0239,0.0000,0.0000,11.1,9,14,3.6,2,6,220,0.9573,93,0.0002
14260,931.0,1900.0,163457,0.5604,0.0003,0.0240,0.0361,0.0576,0.0000,0.4899,0.7465,-0.0458,0.0000,0.0000,10.9,9,13,3.4,2,6,193,0.8206,77,0.0005
14270,981.1,2100.0,159109,0.4966,0.0000,0.0088,0.0434,0.0179,0.0000,0.4726,0.6490,0.0490,0.0000,0.0000,11.4,9,14,3.4,2,6,214,0.9345,116,0.0007
14280,878.7,1700.0,154674,0.5075,0.0004,0.0245,0.0576,0.1035,0.0000,0.2658,0.8292,0.0366,0.0000,0.0000,11.5,10,14,3.3,2,6,209,0.7288,96,0.0005
14290,857.1,1800.0,151923,0.4651,0.0011,0.0305,0.0565,0.1732,0.0000,0.2782,0.8082,-0.1135,0.0000,0.0000,11.4,9,13,3.0,2,6,226,0.8158,110,0.0003
14300,946.8,1900.0,160821,0.4842,0.0002,0.0251,0.0324,0.1033,0.0555,0.3142,0.7669,-0.0817,0.0000,0.0000,11.4,8,14,2.9,2,5,173,0.8191,92,0.0006
14310,952.8,1950.0,157013,0.5150,0.0003,0.0353,0.0515,0.1601,0.0000,0.2930,0.7915,0.0789,0.0000,0.0000,11.4,9,14,3.2,2,6,213,0.8760,101,0.0005
14320,923.9,1850.0,159141,0.5083,0.0002,0.0290,0.0272,0.0518,0.0000,0.3300,0.7226,0.0476,0.0000,0.0000,11.3,9,14,3.4,2,6,184,0.8093,81,0.0009
14330,881.0,2050.0,153721,0.5767,0.0005,0.0387,0.0543,0.1521,0.0603,0.4392,0.7415,0.0679,0.0000,0.0000,11.4,9,13,3.6,2,6,232,0.9994,109,0.0005
14340,949.3,1950.0,158488,0.4854,0.0001,0.0556,0.0569,0.0540,0.0325,0.6009,0.7347,-0.0938,0.0000,0.0000,11.3,9,14,3.9,2,6,197,0.9848,93,0.0006
14350,981.0,1850.0,161893,0.4035,0.0002,0.0879,0.1185,0.0421,0.0000,0.7134,0.7123,-0.1475,0.0000,0.0000,11.3,8,14,4.1,2,6,187,0.9399,99,0.0003
14360,997.8,2000.0,160431,0.5599,0.0001,0.0585,0.0723,0.0909,0.0000,2.5618,0.7910,0.0604,0.0000,0.0000,11.3,9,14,4.4,2,6,231,1.0496,115,0.0005
14370,957.2,1950.0,158278,0.5717,0.0004,0.0722,0.0538,0.0454,0.0000,2.5358,0.7845,-0.0310,0.0000,0.0000,11.1,9,13,4.8,2,6,229,0.9517,108,0.0008
14380,904.9,1950.0,151101,0.4592,0.0004,0.0452,0.0741,0.1434,0.0000,2.6880,0.7690,0.0542,0.0000,0.0000,10.9,8,13,4.6,2,6,239,0.9522,136,0.0004
14390,767.6,1700.0,140685,0.3706,0.0001,0.0528,0.0800,0.0052,0.0000,2.6307,0.7815,0.0359,0.0000,0.0000,11.1,8,14,4.7,2,6,247,0.9548,141,0.0004
14400,920.2,1950.0,147258,0.5736,0.0001,0.0438,0.0442,0.2178,0.0000,3.8726,0.7595,-0.0205,0.0000,0.0000,11.0,9,14,4.3,2,6,250,0.9206,125,0.0003
14410,899.7,1900.0,153999,0.3979,0.0005,0.0267,0.0855,0.0852,0.0000,4.7010,0.6760,-0.0403,0.0000,0.0000,10.9,9,14,4.5,2,6,194,0.9392,95,0.0005
14420,900.4,2100.0,154712,0.4138,0.0006,0.0317,0.0741,0.0390,0.0000,4.7044,0.7782,0.0144,0.0000,0.0000,10.8,8,13,4.7,2,6,206,0.9750,102,0.0004
14430,889.5,1683.5,154401,0.4385,0.0002,0.0587,0.1254,0.1539,0.0491,4.6736,0.7593,-0.0269,0.0000,0.0000,10.9,9,14,4.6,2,6,235,1.0833,109,0.0003
14440,930.3,1950.0,159613,0.4729,0.0003,0.0526,0.0554,0.1510,0.0000,4.8382,0.6894,0.0126,0.0000,0.0000,11.0,8,14,4.5,2,6,200,0.9489,96,0.0004
14450,863.0,1750.0,148346,0.4404,0.0001,0.0508,0.0624,0.0513,0.0000,4.9115,0.7256,0.1077,0.0000,0.0000,10.9,9,14,4.5,2,6,237,1.0051,151,0.0006
14460,948.7,1750.0,159531,0.5594,0.0001,0.0638,0.0757,0.1043,0.0000,4.6998,0.7491,-0.0635,0.0000,0.0000,10.8,9,13,4.2,2,6,217,0.8675,104,0.0004
14470,960.2,1850.0,159278,0.4914,0.0001,0.0830,0.0792,0.1220,0.0000,4.6491,0.7886,0.0438,0.0000,0.0000,10.8,9,14,4.4,2,6,217,0.9242,105,0.0007
14480,953.5,1900.0,157702,0.5817,0.0001,0.0563,0.1181,0.0804,0.0000,4.6463,0.7821,0.0037,0.0000,0.0000,11.2,9,13,4.6,2,6,225,1.0543,101,0.0010
14490,923.2,1900.0,154962,0.4926,0.0000,0.0298,0.0662,0.0102,0.0000,4.6882,0.7953,0.0400,0.0000,0.0000,11.4,9,14,4.4,2,6,210,1.1465,101,0.0013
14500,1030.0,1950.0,162709,0.5735,0.0002,0.0375,0.0776,0.1230,0.0000,3.8167,0.7652,0.0181,0.0000,0.0000,11.4,10,14,4.2,2,6,215,1.1736,93,0.0008
14510,978.3,1900.0,157861,0.5236,0.0002,0.0466,0.0911,0.0909,0.0000,1.3437,0.6677,-0.0376,0.0000,0.0000,11.6,10,14,4.2,2,6,217,1.1828,97,0.0011
14520,913.2,1900.0,154169,0.5027,0.0001,0.0288,0.0637,0.0823,0.0797,1.2838,0.7244,0.0378,0.0000,0.0000,11.8,10,14,4.1,2,6,215,1.1832,84,0.0011
14530,868.6,2000.0,151901,0.5236,0.0001,0.0310,0.0540,0.1419,0.0277,1.3323,0.7668,-0.0657,0.0000,0.0000,11.8,9,14,4.2,2,6,249,1.1733,118,0.0009
14540,1037.2,1950.0,162913,0.5183,0.0003,0.0178,0.0815,0.1075,0.0000,1.2100,0.5834,0.0148,0.0000,0.0000,11.6,8,14,4.0,2,6,187,1.1682,103,0.0012
14550,936.6,1950.0,156731,0.5348,0.0000,0.0230,0.0922,0.0862,0.0000,1.2279,0.7693,0.0214,0.0000,0.0000,11.6,10,13,3.4,2,6,201,1.0167,75,0.0014
14560,866.1,1900.0,149974,0.4209,0.0001,0.0403,0.0811,0.0546,0.0000,0.9727,0.6553,0.0421,0.0000,0.0000,11.5,10,14,3.4,2,6,233,0.9442,144,0.0008
14570,1015.1,1950.0,160880,0.5990,0.0002,0.0524,0.1235,0.1684,0.0000,1.3966,0.7476,-0.0553,0.0000,0.0000,11.4,9,13,3.3,2,6,225,0.9744,136,0.0007
14580,932.9,1950.0,152149,0.5584,0.0001,0.0711,0.0886,0.0852,0.0000,1.3955,0.7407,0.1260,0.0000,0.0000,11.3,8,14,3.9,2,6,257,1.1175,115,0.0010
14590,889.6,1700.0,154696,0.5181,0.0003,0.1140,0.1653,0.0626,0.0000,1.4230,0.7593,0.0105,0.0000,0.0000,11.5,10,14,4.0,2,6,208,1.2116,119,0.0011
14600,968.4,2050.0,160148,0.4733,0.0005,0.0742,0.1960,0.0389,0.0000,1.4541,0.7774,-0.0865,0.0000,0.0000,11.6,10,14,3.7,2,6,183,1.1301,119,0.0012
14610,879.5,2100.0,156031,0.4982,0.0004,0.1085,0.1346,0.0672,0.0000,1.4632,0.7440,-0.0953,0.0000,0.0000,11.6,9,14,3.6,2,6,189,0.9687,72,0.0010
14620,935.4,1950.0,161634,0.5714,0.0001,0.0950,0.1233,0.1390,0.0000,1.3930,0.6786,0.0457,0.0000,0.0000,11.3,9,14,3.9,2,6,198,1.0346,86,0.0007
14630,1047.9,2000.0,165844,0.4660,0.0007,0.0783,0.1857,0.0005,0.0000,1.3613,0.7224,-0.0022,0.0000,0.0000,11.1,8,14,4.2,2,6,151,0.9432,75,0.0011
14640,937.2,1850.0,160225,0.5020,0.0002,0.0723,0.1254,0.0851,0.0779,1.3983,0.7321,-0.0954,0.0000,0.0000,11.2,8,14,4.5,2,6,216,1.1282,113,0.0015
14650,832.7,2050.0,149702,0.4006,0.0000,0.0715,0.1113,0.1380,0.0189,1.3399,0.6913,-0.0371,0.0000,0.0000,11.0,9,14,4.8,2,6,240,1.0066,139,0.0004
14660,944.5,1850.0,158612,0.5484,0.0002,0.0432,0.1146,0.0367,0.0000,1.3240,0.6477,-0.0320,0.0000,0.0000,10.9,9,13,4.8,2,6,198,0.9582,85,0.0008
14670,955.2,2003.4,162952,0.4948,0.0001,0.0598,0.0897,0.1809,0.0000,0.8713,0.7304,-0.0183,0.0000,0.0000,11.0,9,14,4.7,2,6,202,1.0466,102,0.0007
14680,1007.9,1950.0,163428,0.4702,0.0001,0.0566,0.0760,0.0319,0.0000,0.9972,0.7677,0.0295,0.0000,0.0000,10.9,9,13,4.6,2,6,204,1.0554,102,0.0011
14690,841.9,1850.0,154412,0.3830,0.0007,0.0514,0.1059,0.0427,0.0000,1.0014,0.6772,-0.0317,0.0000,0.0000,11.1,9,14,4.7,2,6,198,1.0825,139,0.0007
14700,984.4,2150.0,156268,0.4809,0.0002,0.0518,0.1080,0.0372,0.0000,1.0598,0.7336,0.0409,0.0000,0.0000,11.0,9,13,4.7,2,6,229,1.0726,95,0.0011
14710,998.0,2100.0,160253,0.5150,0.0003,0.0511,0.0665,0.1208,0.0000,1.1452,0.7242,0.0081,0.0000,0.0000,11.0,8,13,4.8,2,6,221,1.1934,89,0.0012
14720,964.6,1750.0,159288,0.5245,0.0002,0.0553,0.0884,0.0408,0.0000,1.1748,0.7483,0.0207,0.0000,0.0000,11.1,9,13,4.7,2,6,209,1.1150,87,0.0007
14730,979.9,1850.0,165896,0.4762,0.0001,0.0332,0.0515,0.1268,0.0000,1.1239,0.6763,0.0210,0.0000,0.0000,11.6,9,14,3.8,2,6,169,1.1104,86,0.0009
14740,921.5,1750.0,158506,0.4332,0.0001,0.0380,0.0685,-0.0047,0.0000,1.1734,0.5866,0.1494,0.0000,0.0000,11.3,9,14,3.6,2,6,176,0.9301,94,0.0012
14750,979.6,2000.0,154624,0.5220,0.0001,0.0430,0.0494,0.0832,0.0000,1.1514,0.6665,-0.0505,0.0000,0.0000,11.3,10,14,3.5,2,6,224,1.0223,92,0.0009
14760,893.8,2100.0,152350,0.5173,0.0001,0.0296,0.0750,0.0166,0.0310,1.1438,0.7756,-0.0243,0.0000,0.0000,11.3,9,13,3.5,2,6,223,0.9730,125,0.0008
14770,896.6,1850.0,155993,0.5747,0.0008,0.0464,0.0502,0.1144,0.0000,1.1197,0.7616,-0.0481,0.0000,0.0000,11.1,9,14,3.6,2,6,213,0.8020,97,0.0006
14780,988.1,1950.0,159826,0.5721,0.0003,0.0321,0.0555,0.0820,0.0000,1.0965,0.8058,-0.0797,0.0000,0.0000,10.9,9,12,3.7,2,6,206,0.7710,80,0.0008
14790,897.2,1875.9,156068,0.4830,0.0008,0.0302,0.0773,0.1599,0.0000,1.6172,0.7640,0.0291,0.0000,0.0000,10.7,8,15,4.3,2,6,216,0.9565,99,0.0004
14800,899.4,1950.0,159006,0.5797,0.0004,0.0374,0.0839,0.0244,0.0638,1.5358,0.7474,-0.0802,0.0000,0.0000,10.6,9,14,4.3,2,6,207,1.0012,108,0.0005
14810,959.8,2050.0,161822,0.5640,0.0002,0.0320,0.0496,0.1324,0.0000,1.5407,0.7484,0.0400,0.0000,0.0000,10.7,9,14,3.9,2,6,173,0.8919,85,0.0011
14820,852.8,1650.0,153508,0.4929,0.0001,0.0272,0.0521,0.1104,0.0000,1.5460,0.6156,0.0007,0.0000,0.0000,11.1,9,14,4.1,2,6,206,1.0403,116,0.0017
14830,874.3,1952.0,152620,0.5167,0.0002,0.1091,0.1473,0.0872,0.0000,1.5575,0.7576,-0.1181,0.0000,0.0000,11.2,9,15,3.9,2,6,242,0.9266,106,0.0007
14840,941.4,1900.0,157146,0.4471,0.0002,0.0334,0.0769,0.0228,0.0000,1.6194,0.6844,0.0426,0.0000,0.0000,11.0,9,13,3.7,2,6,190,0.9252,94,0.0013
14850,894.1,1850.0,154650,0.5316,0.0003,0.0339,0.0847,0.0139,0.0000,1.8270,0.8080,-0.1157,0.0000,0.0000,11.0,9,13,3.9,2,6,221,0.9480,76,0.0009
14860,992.2,2050.0,168915,0.5244,0.0002,0.0508,0.0950,0.0630,0.0000,1.7718,0.6395,0.0202,0.0000,0.0000,11.0,8,14,3.9,2,6,169,0.9748,93,0.0006
14870,869.8,1850.0,154838,0.5134,0.0001,0.1107,0.0990,-0.0027,0.0160,1.8652,0.7773,-0.0877,0.0000,0.0000,10.8,9,13,3.7,2,6,200,0.7913,116,0.0006
14880,935.4,2350.0,155114,0.5844,0.0001,0.0657,0.1295,0.0836,0.0000,1.8333,0.7959,-0.0678,0.0000,0.0000,10.8,9,13,4.0,2,6,223,0.8637,111,0.0006
14890,932.7,1900.0,154227,0.5286,0.0003,0.0673,0.1836,0.0698,0.0000,1.5682,0.7541,0.0099,0.0000,0.0000,11.0,9,14,3.7,2,6,218,0.8065,81,0.0007
14900,847.6,1750.0,149727,0.4129,0.0007,0.0475,0.0854,0.0621,-0.0254,1.9652,0.8002,-0.0995,0.0000,0.0000,10.8,9,13,3.5,2,6,213,0.8375,83,0.0005
14910,951.4,1800.0,160313,0.5366,0.0003,0.0551,0.1275,0.1767,0.0000,1.9956,0.7232,-0.0696,0.0000,0.0000,10.8,9,13,3.2,2,6,214,0.7381,98,0.0003
14920,944.3,1850.0,158945,0.5085,0.0001,0.0545,0.1545,0.0831,0.0755,2.0362,0.7384,0.0077,0.0000,0.0000,10.9,9,14,3.7,2,6,208,0.7911,130,0.0007
14930,999.7,2115.6,166578,0.4442,0.0007,0.0843,0.1228,0.0683,0.0000,1.8956,0.7517,0.0152,0.0000,0.0000,11.1,9,13,3.7,2,6,171,1.0141,91,0.0012
14940,1042.1,2000.0,166533,0.5498,0.0004,0.0358,0.0766,0.0424,0.0000,1.8937,0.7139,-0.0134,0.0000,0.0000,11.1,9,13,3.9,2,6,186,1.1148,85,0.0009
14950,933.0,1750.0,160977,0.5213,0.0012,0.0504,0.1038,0.1490,0.0742,1.8631,0.6834,-0.1197,0.0000,0.0000,11.1,9,13,3.5,2,6,194,0.7831,80,0.0006
14960,1007.3,1850.0,167347,0.5415,0.0005,0.0843,0.0883,0.1079,0.0000,1.8686,0.6445,-0.0189,0.0000,0.0000,11.2,9,13,3.4,2,6,175,0.8972,98,0.0007
14970,903.2,1800.0,157930,0.4866,0.0004,0.0468,0.1729,0.0252,0.0000,1.7807,0.7698,-0.0772,0.0000,0.0000,11.1,9,15,3.6,2,6,186,0.8126,62,0.0007
14980,1006.1,2000.0,166299,0.4857,0.0023,0.0959,0.1346,0.0172,0.0000,1.7765,0.7319,0.0106,0.0000,0.0000,11.3,9,14,3.7,2,6,170,0.9618,78,0.0009
14990,1036.6,1950.0,163928,0.5354,0.0004,0.1398,0.1375,0.0967,0.0261,1.9014,0.5838,-0.0978,0.0000,0.0000,11.4,10,15,3.8,2,6,172,1.0802,70,0.0012
15000,858.7,1785.6,148425,0.5118,0.0001,0.1271,0.1205,0.0771,0.0000,1.5599,0.7717,-0.0742,0.0000,0.0000,11.4,9,14,4.1,2,6,220,1.1607,109,0.0014
15010,1020.6,2000.0,165206,0.4889,0.0004,0.1434,0.1458,0.0196,0.0630,1.7107,0.6855,0.0173,0.0000,0.0000,11.5,9,14,3.8,2,6,161,1.2336,67,0.0012
15020,975.3,2085.5,166286,0.5867,0.0001,0.1006,0.1158,0.0501,0.0000,1.7076,0.7355,-0.1064,0.0000,0.0000,11.6,9,14,3.4,2,6,187,1.1120,77,0.0014
15030,942.2,1800.0,157349,0.5701,0.0001,0.0449,0.1210,0.1299,0.0000,1.9563,0.7224,0.0032,0.0000,0.0000,11.6,9,14,3.1,2,6,210,1.0032,66,0.0010
15040,898.5,1793.6,163375,0.5471,0.0002,0.0703,0.1501,0.0187,0.0725,2.0267,0.6890,-0.0069,0.0000,0.0000,11.7,9,14,3.0,2,6,159,0.9477,76,0.0006
15050,964.4,1850.0,163437,0.5267,0.0002,0.0561,0.0954,-0.0081,0.0000,2.1019,0.8045,0.0098,0.0000,0.0000,11.6,9,14,3.2,2,6,182,0.9828,97,0.0010
15060,921.9,1693.2,157310,0.5297,0.0006,0.0614,0.0939,0.0637,0.0000,2.1096,0.7554,0.0797,0.0000,0.0000,11.6,10,14,3.4,2,6,227,1.1168,82,0.0011
15070,937.3,1850.0,160677,0.4767,0.0003,0.0308,0.1092,0.0856,0.0000,2.0498,0.7803,0.0103,0.0000,0.0000,11.7,9,15,3.4,2,6,167,1.1594,76,0.0006
15080,894.2,1500.0,166436,0.4970,0.0007,0.0487,0.0840,0.0572,0.0747,2.0755,0.8035,-0.0273,0.0000,0.0000,11.8,9,14,3.6,2,6,148,1.2497,98,0.0016
