generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
500,97,157,0,0,745,1195,0,0,1804,3580,0,0,712,1411,0,0,1189,1954,0,0,1584,2936,0,0,0.0135,0.0156,0.0175,0.0155,0.0156,0.0151,0.0024,0.0000,0.0012,0.0012,0.0000,0.0005,0.0013,0.0013,0.0000,0.0006,0.0000,0.0010,0.0001,0.0010,0.0001,0.0004
510,132,218,0,0,690,1310,0,0,1238,2129,0,0,812,871,0,0,817,1189,0,0,831,1750,0,0,0.0261,0.0267,0.0308,0.0319,0.0275,0.0288,0.0023,0.0006,0.0000,0.0057,0.0005,0.0017,0.0003,0.0098,0.0021,0.0003,0.0068,0.0008,0.0012,0.0029,0.0135,0.0039
520,239,468,0,0,317,809,0,0,501,919,0,0,601,832,0,0,418,838,0,0,137,310,0,0,0.0177,0.0192,0.0224,0.0201,0.0179,0.0236,0.0014,0.0019,0.0001,0.0035,0.0000,0.0006,0.0029,0.0105,0.0015,0.0004,0.0023,0.0002,0.0012,0.0040,0.0069,0.0004
530,314,477,0,0,221,441,0,0,202,335,2,0,388,725,0,0,58,104,1,0,301,404,0,0,0.0045,0.0053,0.0094,0.0052,0.0079,0.0067,0.0030,0.0022,0.0015,0.0013,0.0029,0.0005,0.0023,0.0001,0.0025,0.0046,0.0017,0.0003,0.0026,0.0022,0.0032,0.0046
540,286,312,0,0,226,331,0,0,202,355,0,0,260,513,0,0,88,255,0,0,273,647,0,0,0.0060,0.0065,0.0095,0.0081,0.0058,0.0073,0.0042,0.0027,0.0069,0.0105,0.0267,0.0175,0.0010,0.0026,0.0126,0.0065,0.0004,0.0066,0.0025,0.0038,0.0009,0.0010
550,158,211,0,0,296,226,0,0,454,712,0,0,589,854,0,0,128,234,0,0,668,1323,0,0,0.0090,0.0085,0.0105,0.0115,0.0078,0.0099,0.0040,0.0097,0.0008,0.0002,0.0029,0.0046,0.0159,0.0127,0.0231,0.0273,0.0002,0.0007,0.0016,0.0016,0.0028,0.0002
560,36,66,0,0,76,309,0,0,133,249,0,0,320,657,0,0,54,76,0,0,235,305,0,0,0.0100,0.0073,0.0115,0.0085,0.0085,0.0091,0.0149,0.0153,0.0000,0.0004,0.0021,0.0035,0.0145,0.0110,0.0284,0.0333,0.0002,0.0024,0.0040,0.0041,0.0062,0.0002
570,126,150,0,0,210,259,0,0,316,502,0,0,265,419,0,0,87,162,0,0,274,482,0,0,0.0025,0.0014,0.0019,0.0026,0.0014,0.0017,0.0083,0.0000,0.0025,0.0024,0.0060,0.0046,0.0019,0.0019,0.0051,0.0038,0.0000,0.0007,0.0003,0.0008,0.0003,0.0001
580,104,267,0,0,379,720,0,0,345,528,0,0,355,479,0,0,117,151,0,0,420,645,0,0,0.0001,0.0001,0.0001,0.0001,0.0004,0.0002,0.0046,0.0024,0.0074,0.0116,0.0134,0.0073,0.0014,0.0035,0.0044,0.0013,0.0005,0.0009,0.0000,0.0001,0.0005,0.0009
590,63,79,0,0,278,435,0,0,313,433,0,0,186,534,0,0,26,78,0,0,87,204,0,0,0.0013,0.0008,0.0012,0.0016,0.0016,0.0021,0.0094,0.0015,0.0003,0.0190,0.0209,0.0113,0.0005,0.0099,0.0113,0.0046,0.0146,0.0163,0.0079,0.0000,0.0010,0.0015
