    Finished `release` profile [optimized] target(s) in 0.03s
     Running `target\release\semiotic-emergence.exe 42 10000`
gen  520 | avg    19.1 | max    52.0 | signals 761 | icon -0.015 | MI 0.006 | jsd 0.036/0.074 | sym [0.024,0.022,0.052] | sil -0.367
gen  530 | avg    21.4 | max    76.0 | signals 721 | icon -0.041 | MI 0.023 | jsd 0.302/0.119 | sym [0.124,0.062,0.113] | sil -0.350
gen  540 | avg    30.0 | max    91.0 | signals 1178 | icon -0.020 | MI 0.005 | jsd 0.179/0.084 | sym [0.152,0.000,0.190] | sil -0.395
gen  550 | avg    21.8 | max    60.0 | signals 823 | icon -0.011 | MI 0.023 | jsd 0.137/0.105 | sym [0.120,0.039,0.171] | sil -0.508
gen  560 | avg    26.8 | max    80.0 | signals 1005 | icon -0.009 | MI 0.028 | jsd 0.177/0.150 | sym [0.115,0.156,0.230] | sil -0.481
gen  570 | avg    20.0 | max    66.0 | signals 649 | icon -0.024 | MI 0.013 | jsd 0.120/0.090 | sym [0.072,0.100,0.170] | sil -0.429
gen  580 | avg    25.9 | max    72.0 | signals 955 | icon -0.032 | MI 0.013 | jsd 0.296/0.493 | sym [0.318,0.454,0.241] | sil -0.586
gen  590 | avg    26.5 | max    79.0 | signals 1013 | icon -0.027 | MI 0.012 | jsd 0.365/0.635 | sym [0.274,0.693,0.228] | sil -0.385
gen  600 | avg    17.2 | max    45.0 | signals 698 | icon -0.050 | MI 0.010 | jsd 0.292/0.404 | sym [0.075,0.465,0.198] | sil -0.074
gen  610 | avg    22.2 | max    53.0 | signals 767 | icon -0.047 | MI 0.011 | jsd 0.283/0.321 | sym [0.324,0.324,0.183] | sil -0.466
gen  620 | avg    16.9 | max    44.0 | signals 649 | icon -0.024 | MI 0.011 | jsd 0.183/0.332 | sym [0.178,0.284,0.148] | sil -0.085
gen  630 | avg    18.6 | max    44.0 | signals 778 | icon -0.057 | MI 0.007 | jsd 0.512/0.335 | sym [0.693,0.457,0.178] | sil -0.420
gen  640 | avg    23.5 | max    74.0 | signals 934 | icon -0.054 | MI 0.010 | jsd 0.248/0.499 | sym [0.092,0.450,0.242] | sil -0.508
gen  650 | avg    20.9 | max    53.0 | signals 864 | icon -0.034 | MI 0.007 | jsd 0.309/0.294 | sym [0.128,0.469,0.250] | sil -0.546
gen  660 | avg    23.4 | max    63.0 | signals 886 | icon -0.018 | MI 0.022 | jsd 0.371/0.473 | sym [0.393,0.524,0.158] | sil -0.419
gen  670 | avg    18.5 | max    51.0 | signals 687 | icon -0.011 | MI 0.005 | jsd 0.505/0.420 | sym [0.589,0.482,0.211] | sil -0.429
gen  680 | avg    22.4 | max    75.0 | signals 841 | icon -0.055 | MI 0.012 | jsd 0.508/0.337 | sym [0.000,0.522,0.272] | sil -0.539
gen  690 | avg    25.5 | max    80.0 | signals 956 | icon -0.023 | MI 0.011 | jsd 0.347/0.262 | sym [0.000,0.510,0.077] | sil -0.444
gen  700 | avg    25.1 | max    63.0 | signals 1097 | icon -0.027 | MI 0.021 | jsd 0.464/0.379 | sym [0.497,0.574,0.259] | sil -0.361
gen  710 | avg    38.8 | max    91.0 | signals 1693 | icon -0.017 | MI 0.029 | jsd 0.445/0.433 | sym [0.000,0.552,0.264] | sil -0.330
gen  720 | avg    21.1 | max    57.0 | signals 851 | icon -0.020 | MI 0.002 | jsd 0.544/0.349 | sym [0.000,0.643,0.345] | sil -0.450
gen  730 | avg    30.6 | max    61.0 | signals 1259 | icon -0.046 | MI 0.005 | jsd 0.628/0.517 | sym [0.521,0.568,0.408] | sil -0.269
gen  740 | avg    19.2 | max    48.0 | signals 819 | icon -0.026 | MI 0.005 | jsd 0.497/0.549 | sym [0.150,0.677,0.475] | sil -0.440
gen  750 | avg    31.4 | max    83.0 | signals 1409 | icon -0.014 | MI 0.003 | jsd 0.524/0.553 | sym [0.334,0.593,0.552] | sil -0.382
gen  760 | avg    17.2 | max    49.0 | signals 731 | icon -0.048 | MI 0.011 | jsd 0.383/0.518 | sym [0.107,0.668,0.354] | sil -0.411
gen  770 | avg    18.5 | max    48.0 | signals 822 | icon -0.057 | MI 0.008 | jsd 0.399/0.325 | sym [0.069,0.577,0.368] | sil -0.270
gen  780 | avg    23.7 | max    66.0 | signals 945 | icon -0.061 | MI 0.011 | jsd 0.513/0.515 | sym [0.291,0.574,0.438] | sil -0.516
gen  790 | avg    29.8 | max    70.0 | signals 1335 | icon -0.019 | MI 0.007 | jsd 0.556/0.583 | sym [0.321,0.693,0.626] | sil -0.442
gen  800 | avg    24.0 | max    67.0 | signals 970 | icon -0.047 | MI 0.006 | jsd 0.592/0.561 | sym [0.411,0.656,0.590] | sil -0.479
gen  810 | avg    18.9 | max    64.0 | signals 784 | icon -0.055 | MI 0.023 | jsd 0.416/0.580 | sym [0.046,0.693,0.409] | sil -0.449
gen  820 | avg    20.2 | max    58.0 | signals 772 | icon -0.051 | MI 0.017 | jsd 0.494/0.593 | sym [0.210,0.633,0.504] | sil -0.383
gen  830 | avg    26.5 | max    73.0 | signals 1150 | icon -0.030 | MI 0.018 | jsd 0.693/0.314 | sym [0.000,0.522,0.506] | sil -0.341
gen  840 | avg    18.9 | max    41.0 | signals 796 | icon -0.035 | MI 0.013 | jsd 0.693/0.480 | sym [0.521,0.567,0.500] | sil -0.565
gen  850 | avg    22.2 | max    75.0 | signals 905 | icon -0.024 | MI 0.026 | jsd 0.643/0.676 | sym [0.000,0.693,0.547] | sil -0.391
gen  860 | avg    17.5 | max    50.0 | signals 711 | icon -0.020 | MI 0.012 | jsd 0.582/0.659 | sym [0.000,0.693,0.466] | sil -0.246
gen  870 | avg    17.0 | max    60.0 | signals 696 | icon -0.029 | MI 0.014 | jsd 0.551/0.354 | sym [0.386,0.592,0.398] | sil -0.499
gen  880 | avg    19.2 | max    64.0 | signals 774 | icon -0.023 | MI 0.010 | jsd 0.693/0.359 | sym [0.614,0.608,0.615] | sil -0.455
gen  890 | avg    35.2 | max    94.0 | signals 1510 | icon -0.019 | MI 0.020 | jsd 0.693/0.693 | sym [0.693,0.693,0.693] | sil -0.189
gen  900 | avg    21.2 | max    55.0 | signals 849 | icon -0.041 | MI 0.006 | jsd 0.693/0.693 | sym [0.693,0.693,0.693] | sil -0.491
gen  910 | avg    25.2 | max    78.0 | signals 1040 | icon -0.031 | MI 0.010 | jsd 0.647/0.676 | sym [0.000,0.656,0.644] | sil -0.409
gen  920 | avg    25.6 | max    74.0 | signals 1087 | icon -0.014 | MI 0.002 | jsd 0.693/0.693 | sym [0.000,0.000,0.693] | sil -0.366
gen  930 | avg    22.9 | max    73.0 | signals 757 | icon -0.036 | MI 0.000 | jsd 0.372/0.544 | sym [0.000,0.000,0.401] | sil -0.400
gen  940 | avg    19.4 | max    55.0 | signals 710 | icon -0.062 | MI 0.003 | jsd 0.260/0.562 | sym [0.277,0.693,0.346] | sil -0.455
gen  950 | avg    20.7 | max    59.0 | signals 814 | icon -0.041 | MI 0.003 | jsd 0.468/0.347 | sym [0.053,0.000,0.495] | sil -0.442
gen  960 | avg    23.2 | max    61.0 | signals 942 | icon -0.029 | MI 0.004 | jsd 0.454/0.581 | sym [0.000,0.000,0.480] | sil -0.343
gen  970 | avg    19.8 | max    54.0 | signals 820 | icon -0.040 | MI 0.001 | jsd 0.562/0.693 | sym [0.606,0.000,0.561] | sil -0.462
gen  980 | avg    18.1 | max    49.0 | signals 670 | icon -0.025 | MI 0.011 | jsd 0.612/0.371 | sym [0.257,0.000,0.531] | sil -0.575
gen  990 | avg    20.7 | max    61.0 | signals 843 | icon -0.025 | MI 0.006 | jsd 0.445/0.454 | sym [0.162,0.693,0.499] | sil -0.487
gen 1000 | avg    18.6 | max    69.0 | signals 702 | icon -0.047 | MI 0.004 | jsd 0.444/0.462 | sym [0.053,0.693,0.495] | sil -0.421
gen 1010 | avg    25.9 | max    71.0 | signals 1065 | icon -0.042 | MI 0.000 | jsd 0.309/0.611 | sym [0.000,0.000,0.366] | sil -0.484
gen 1020 | avg    30.4 | max   102.0 | signals 1210 | icon -0.041 | MI 0.003 | jsd 0.495/0.693 | sym [0.000,0.693,0.385] | sil -0.354
gen 1030 | avg    23.0 | max    69.0 | signals 986 | icon -0.040 | MI 0.000 | jsd 0.344/0.693 | sym [0.000,0.000,0.411] | sil -0.442
gen 1040 | avg    34.5 | max    81.0 | signals 1496 | icon -0.038 | MI 0.001 | jsd 0.316/0.693 | sym [0.000,0.693,0.378] | sil -0.356
gen 1050 | avg    20.3 | max    61.0 | signals 856 | icon -0.036 | MI 0.008 | jsd 0.605/0.649 | sym [0.000,0.693,0.520] | sil -0.365
gen 1060 | avg    22.8 | max    57.0 | signals 865 | icon -0.036 | MI 0.005 | jsd 0.558/0.693 | sym [0.000,0.693,0.465] | sil -0.517
gen 1070 | avg    17.9 | max    55.0 | signals 790 | icon -0.028 | MI 0.000 | jsd 0.358/0.599 | sym [0.000,0.000,0.422] | sil -0.410
gen 1080 | avg    20.4 | max    54.0 | signals 818 | icon -0.032 | MI 0.000 | jsd 0.251/0.693 | sym [0.000,0.000,0.305] | sil -0.413
gen 1090 | avg    19.9 | max    59.0 | signals 686 | icon -0.015 | MI 0.005 | jsd 0.236/0.393 | sym [0.000,0.606,0.249] | sil -0.342
gen 1100 | avg    17.1 | max    43.0 | signals 732 | icon -0.031 | MI 0.004 | jsd 0.518/0.313 | sym [0.000,0.481,0.256] | sil -0.463
gen 1110 | avg    18.1 | max    63.0 | signals 809 | icon -0.042 | MI 0.000 | jsd 0.301/0.383 | sym [0.000,0.000,0.287] | sil -0.468
gen 1120 | avg    19.9 | max    62.0 | signals 833 | icon -0.022 | MI 0.003 | jsd 0.274/0.625 | sym [0.000,0.693,0.302] | sil -0.402
gen 1130 | avg    20.2 | max    51.0 | signals 772 | icon -0.058 | MI 0.004 | jsd 0.442/0.282 | sym [0.000,0.562,0.190] | sil -0.430
gen 1140 | avg    21.9 | max    53.0 | signals 782 | icon -0.045 | MI 0.004 | jsd 0.123/0.411 | sym [0.123,0.693,0.155] | sil -0.405
gen 1150 | avg    24.0 | max    54.0 | signals 921 | icon -0.045 | MI 0.001 | jsd 0.424/0.419 | sym [0.000,0.642,0.202] | sil -0.509
gen 1160 | avg    18.1 | max    57.0 | signals 699 | icon -0.034 | MI 0.000 | jsd 0.077/0.320 | sym [0.000,0.000,0.102] | sil -0.473
gen 1170 | avg    18.9 | max    56.0 | signals 718 | icon -0.039 | MI 0.000 | jsd 0.196/0.490 | sym [0.000,0.000,0.253] | sil -0.194
gen 1180 | avg    17.6 | max    61.0 | signals 757 | icon -0.053 | MI 0.002 | jsd 0.201/0.517 | sym [0.000,0.642,0.259] | sil -0.445
gen 1190 | avg    20.1 | max    46.0 | signals 833 | icon -0.043 | MI 0.000 | jsd 0.216/0.615 | sym [0.000,0.000,0.293] | sil -0.420
gen 1200 | avg    18.9 | max    43.0 | signals 776 | icon -0.052 | MI 0.000 | jsd 0.174/0.600 | sym [0.000,0.000,0.281] | sil -0.437
gen 1210 | avg    33.6 | max    69.0 | signals 1493 | icon -0.023 | MI 0.000 | jsd 0.290/0.693 | sym [0.000,0.000,0.354] | sil -0.301
gen 1220 | avg    22.4 | max    65.0 | signals 957 | icon 0.004 | MI 0.004 | jsd 0.141/0.693 | sym [0.123,0.000,0.295] | sil -0.430
gen 1230 | avg    19.1 | max    52.0 | signals 788 | icon -0.036 | MI 0.000 | jsd 0.200/0.603 | sym [0.000,0.000,0.265] | sil -0.349
gen 1240 | avg    20.9 | max    58.0 | signals 772 | icon -0.058 | MI 0.009 | jsd 0.151/0.544 | sym [0.105,0.693,0.235] | sil -0.515
gen 1250 | avg    34.8 | max   101.0 | signals 1402 | icon -0.016 | MI 0.002 | jsd 0.298/0.693 | sym [0.000,0.000,0.340] | sil -0.421
gen 1260 | avg    27.9 | max    72.0 | signals 1201 | icon -0.026 | MI 0.004 | jsd 0.335/0.663 | sym [0.304,0.693,0.308] | sil -0.288
gen 1270 | avg    17.7 | max    51.0 | signals 760 | icon -0.053 | MI 0.005 | jsd 0.380/0.565 | sym [0.328,0.642,0.277] | sil -0.452
gen 1280 | avg    21.2 | max    60.0 | signals 928 | icon -0.025 | MI 0.009 | jsd 0.491/0.357 | sym [0.521,0.537,0.278] | sil -0.563
gen 1290 | avg    31.6 | max    96.0 | signals 1306 | icon -0.015 | MI 0.012 | jsd 0.462/0.606 | sym [0.255,0.693,0.280] | sil -0.286
gen 1300 | avg    24.7 | max    69.0 | signals 987 | icon -0.050 | MI 0.005 | jsd 0.551/0.456 | sym [0.606,0.624,0.294] | sil -0.272
gen 1310 | avg    16.9 | max    46.0 | signals 701 | icon -0.033 | MI 0.003 | jsd 0.108/0.693 | sym [0.123,0.693,0.282] | sil -0.305
gen 1320 | avg    34.9 | max    88.0 | signals 1496 | icon -0.024 | MI 0.001 | jsd 0.462/0.616 | sym [0.000,0.693,0.276] | sil -0.295
gen 1330 | avg    19.3 | max    66.0 | signals 768 | icon -0.064 | MI 0.001 | jsd 0.154/0.375 | sym [0.096,0.000,0.240] | sil -0.261
gen 1340 | avg    26.2 | max    73.0 | signals 1040 | icon -0.018 | MI 0.005 | jsd 0.436/0.530 | sym [0.000,0.616,0.211] | sil -0.407
gen 1350 | avg    31.7 | max    85.0 | signals 1370 | icon -0.042 | MI 0.001 | jsd 0.122/0.636 | sym [0.000,0.693,0.189] | sil -0.333
gen 1360 | avg    23.8 | max    72.0 | signals 904 | icon -0.015 | MI 0.005 | jsd 0.532/0.482 | sym [0.153,0.693,0.214] | sil -0.349
gen 1370 | avg    17.8 | max    41.0 | signals 733 | icon -0.050 | MI 0.003 | jsd 0.450/0.623 | sym [0.000,0.693,0.262] | sil -0.228
gen 1380 | avg    31.1 | max    74.0 | signals 1234 | icon -0.017 | MI 0.000 | jsd 0.118/0.541 | sym [0.000,0.000,0.177] | sil -0.401
gen 1390 | avg    28.1 | max    95.0 | signals 1168 | icon -0.031 | MI 0.000 | jsd 0.099/0.537 | sym [0.000,0.000,0.158] | sil -0.477
