generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths
9410,951.2,2100.0,156662,0.5194,0.0001,0.1073,0.0481,-0.0162,0.0000,7.4964,0.7780,0.0000,0.0000,0.0000,11.7,10,13,3.7,2,7,208,0.4900,102
9420,981.2,2000.0,157046,0.5264,0.0004,0.1110,0.0398,0.1532,0.0000,7.4354,0.7445,0.0000,0.0000,0.0000,11.6,10,14,3.4,2,8,181,0.4444,89
9430,951.2,2000.0,161762,0.5269,0.0001,0.1029,0.0660,0.1501,0.0645,7.4354,0.7795,0.0000,0.0000,0.0000,11.6,10,14,3.8,2,8,190,0.3924,100
9440,996.2,1950.0,162537,0.5176,0.0002,0.0998,0.0520,-0.0123,0.0000,7.3926,0.5937,0.0000,0.0000,0.0000,11.4,10,14,4.1,2,8,194,0.5528,99
9450,994.8,1900.0,158628,0.5282,0.0001,0.1186,0.0641,0.0113,0.0000,7.2488,0.7800,0.0000,0.0000,0.0000,11.5,10,14,4.1,2,9,197,0.7456,104
9460,994.6,1900.0,159669,0.5700,0.0003,0.0942,0.0502,0.0215,0.0000,6.8213,0.7441,0.0000,0.0000,0.0000,11.5,9,13,3.7,2,9,208,0.6439,92
9470,1031.3,2050.0,167301,0.5089,0.0001,0.1137,0.0831,-0.0396,0.0000,6.9314,0.7588,0.0000,0.0000,0.0000,11.5,9,14,3.9,2,9,188,0.6603,114
9480,1040.6,1900.0,158429,0.3998,0.0001,0.1168,0.1241,0.0480,0.0000,6.9949,0.6371,0.0000,0.0000,0.0000,11.3,10,13,3.8,2,9,183,0.7523,81
9490,936.4,2050.0,148421,0.4926,0.0001,0.1075,0.0688,0.1121,0.0000,7.2575,0.6934,0.0000,0.0000,0.0000,11.4,9,13,4.0,2,9,214,0.7152,151
9500,999.3,2300.0,165110,0.4776,0.0006,0.1459,0.0997,0.0455,0.0971,6.8765,0.6946,0.0000,0.0000,0.0000,11.2,10,13,3.8,2,9,187,0.6291,122
9510,1051.5,2050.0,158843,0.4455,0.0001,0.0959,0.0405,0.0452,0.0000,4.9561,0.6026,0.0000,0.0000,0.0000,11.2,10,13,3.3,2,10,179,0.4990,113
9520,941.1,2000.0,154743,0.5054,0.0002,0.0800,0.1393,0.1592,0.0000,5.8980,0.7701,0.0000,0.0000,0.0000,11.5,10,14,3.6,2,8,219,0.6193,118
9530,1074.4,2000.0,166293,0.5286,0.0003,0.1100,0.0535,0.1625,0.0000,5.6232,0.7282,0.0000,0.0000,0.0000,11.4,10,14,4.4,2,9,178,0.7543,75
9540,1089.3,2050.0,169252,0.5141,0.0004,0.1291,0.0587,0.0187,0.0000,5.7221,0.7077,0.0000,0.0000,0.0000,11.1,9,13,4.1,2,8,161,0.8087,83
9550,1077.8,2150.0,164447,0.5063,0.0002,0.1148,0.0563,0.1096,0.0000,6.0736,0.7350,0.0000,0.0000,0.0000,11.1,10,13,3.7,2,7,174,0.5705,72
9560,994.7,1934.4,162913,0.5152,0.0003,0.0733,0.0525,0.0507,0.0000,6.1506,0.6573,0.0000,0.0000,0.0000,11.3,8,14,3.5,2,7,162,0.3506,70
9570,1056.9,2250.0,160607,0.4935,0.0000,0.1263,0.0613,0.0962,0.0000,6.4507,0.7128,0.0000,0.0000,0.0000,11.2,9,14,4.0,2,6,182,0.3211,123
9580,959.8,2250.0,155876,0.4586,0.0001,0.1928,0.1285,0.0479,0.0000,6.5446,0.7876,0.0000,0.0000,0.0000,11.2,10,13,4.0,2,7,207,0.3913,117
9590,994.4,2100.0,157054,0.5878,0.0002,0.0835,0.0447,0.0774,0.0000,6.0487,0.7707,0.0000,0.0000,0.0000,11.2,9,13,4.4,2,7,226,0.6746,80
9600,987.5,1900.0,153862,0.5130,0.0003,0.0826,0.0778,0.1407,0.0000,6.0331,0.6647,0.0000,0.0000,0.0000,11.2,10,13,4.6,2,8,197,0.7359,102
9610,975.2,2100.0,159050,0.4938,0.0010,0.1198,0.0430,0.0389,0.0692,5.7603,0.7057,0.0000,0.0000,0.0000,11.1,10,14,5.0,2,8,205,0.9830,107
